No.	lemma	Total no. in this subcorpus	Expected collocate frequency	Observed collocate frequency	In no. of texts	Log-likelihood value
395	assero1	2209	8.012	15	15	4.861
396	18	904	3.279	8	7	4.854
397	reuoluo	427	1.549	5	5	4.846
398	relego2	428	1.552	5	5	4.83
399	perhibeo	1634	5.926	12	8	4.808
400	profero	4745	17.209	27	23	4.761
401	confessio	3889	14.105	23	15	4.724
402	stilus	593	2.151	6	6	4.638
403	uis	7470	27.093	39	20	4.622
404	20	764	2.771	7	5	4.54
405	ethereus	449	1.629	5	1	4.5
406	argentum	1871	6.786	13	9	4.496
407	legalis	771	2.796	7	6	4.462
408	ostendo	14357	52.071	68	39	4.462
409	hic1	15083	54.704	71	48	4.455
410	comprobo	1126	4.084	9	9	4.413
411	synodalis1	460	1.668	5	3	4.337
412	creber	619	2.245	6	5	4.31
413	origo	1323	4.798	10	10	4.304
414	affero	2110	7.653	14	8	4.237
415	obscurus	803	2.912	7	7	4.123
416	edoceo	804	2.916	7	6	4.113
417	septuaginta	1934	7.014	13	8	4.09
418	mendacium	1737	6.3	12	10	4.084
419	debitum	1358	4.925	10	6	4.034
420	premitto	1752	6.354	12	12	3.986
421	sequor	15585	56.525	72	48	3.915
422	canticum	1965	7.127	13	10	3.9
423	octauum2	1007	3.652	8	8	3.869
424	tronus	1193	4.327	9	9	3.855
425	insignis	836	3.032	7	6	3.797
426	translatio	840	3.047	7	6	3.758
427	concludo	1222	4.432	9	7	3.632
428	preterea	1228	4.454	9	8	3.587
429	catholicus	5746	20.84	30	19	3.555
430	mysticus	2232	8.095	14	11	3.545
431	tabula	1046	3.794	8	7	3.542
432	scriptum	1427	5.176	10	10	3.541
433	multiplex	1235	4.479	9	9	3.535
434	pagina	1627	5.901	11	10	3.52
435	precipuus	2237	8.113	14	13	3.518
436	similiter	5771	20.931	30	25	3.476
437	persus	526	1.908	5	5	3.469
438	uerbum	27300	99.013	118	71	3.446
439	posterus	1849	6.706	12	9	3.393
440	terminus	2478	8.987	15	11	3.357
441	eruditio	536	1.944	5	5	3.353
442	cito2	539	1.955	5	4	3.318
443	paganus	1472	5.339	10	9	3.245
444	doctrina	7028	25.49	35	28	3.189
445	denique	3179	11.53	18	17	3.109
446	intus1	1906	6.913	12	8	3.076
447	quadraginta	1702	6.173	11	9	3.07
448	documentum	740	2.684	6	6	3.037
449	instrumentum	566	2.053	5	5	3.023
450	recondo	566	2.053	5	5	3.023
451	plus2	927	3.362	7	7	3.006
452	maxime	3871	14.04	21	20	3.003
453	pre1	2138	7.754	13	7	2.956
454	marca2	1320	4.787	9	8	2.951
455	ars	2369	8.592	14	13	2.867
456	latus1	1346	4.882	9	9	2.787
457	claudo	1350	4.896	9	8	2.763
458	comprehendo	2619	9.499	15	14	2.716
459	prescientia	969	3.514	7	5	2.688
460	nepos	973	3.529	7	5	2.659
461	nempe	785	2.847	6	6	2.653
462	triginta	1575	5.712	10	10	2.636
463	qui2	510903	1852.969	1922	391	2.616
464	sumo	4460	16.176	23	19	2.554
465	sancta	2441	8.853	14	12	2.55
466	singulus	7284	26.418	35	21	2.538
467	bellum	3563	12.923	19	15	2.504
468	condio	1216	4.41	8	8	2.359
469	desum	2510	9.103	14	12	2.268
470	libellus	1438	5.215	9	9	2.262
471	ubi	18833	68.305	81	62	2.236
472	decem	3204	11.62	17	17	2.186
473	dispositio	1251	4.537	8	4	2.158
474	supra2	3902	14.152	20	14	2.148
475	ornamentum	854	3.097	6	5	2.139
476	conficio	1462	5.303	9	8	2.137
477	typus	863	3.13	6	6	2.078
478	synodus1	5574	20.216	27	11	2.066
479	--	164067	595.047	630	214	2.038
480	quinquaginta	873	3.166	6	6	2.012
481	censeo	1504	5.455	9	7	1.931
482	multus	21416	77.673	90	63	1.87
483	denarius2	900	3.264	6	4	1.842
484	perspicio	704	2.553	5	4	1.836
485	solidus2	706	2.561	5	5	1.822
486	approbo	1107	4.015	7	7	1.821
487	nomino	3089	11.203	16	15	1.819
488	thesaurus	1965	7.127	11	8	1.81
489	aduocatus	710	2.575	5	3	1.794
490	subsequor	1534	5.564	9	8	1.793
491	reuera	711	2.579	5	5	1.787
492	recito	711	2.579	5	5	1.787
493	9	1756	6.369	10	10	1.769
494	orthodoxus	915	3.319	6	5	1.752
495	charta	720	2.611	5	4	1.727
496	discutio	1125	4.08	7	6	1.725
497	studiosus1	922	3.344	6	6	1.711
498	notitia	1560	5.658	9	8	1.678
499	oraculum	731	2.651	5	5	1.654
500	officium	6002	21.768	28	22	1.642
501	uocatio	938	3.402	6	3	1.62
502	amen	3393	12.306	17	17	1.605
503	excedo	947	3.435	6	6	1.571
504	grece	1158	4.2	7	5	1.559
505	prout	1383	5.016	8	8	1.508
506	adicio	1383	5.016	8	6	1.508
507	noto	2965	10.754	15	14	1.498
508	differentia	1173	4.254	7	7	1.487
509	uestimentum	2281	8.273	12	11	1.478
510	indicium	1176	4.265	7	7	1.473
511	edificatio	764	2.771	5	1	1.451
512	mirabilis	1182	4.287	7	6	1.445
513	tracto	1848	6.702	10	6	1.413
514	porrigo1	778	2.822	5	5	1.371
515	ultimus	1647	5.973	9	6	1.331
516	siue	22976	83.331	94	62	1.318
517	sacro	789	2.862	5	5	1.31
518	indico1	2105	7.635	11	11	1.309
519	transmitto	1001	3.631	6	6	1.295
520	testa	1003	3.638	6	5	1.286
521	deuoro	1004	3.641	6	5	1.281
522	liber2	4479	16.245	21	12	1.279
523	adiutorium	1440	5.223	8	7	1.274
524	pono	17333	62.864	72	44	1.274
525	ianuarius	796	2.887	5	4	1.272
526	sepe	5477	19.864	25	18	1.231
527	floreo	1019	3.696	6	6	1.212
528	custos	1686	6.115	9	3	1.192
529	disco	4055	14.707	19	19	1.151
530	industria	821	2.978	5	5	1.143
531	memoria	4810	17.445	22	21	1.102
532	emendo	1716	6.224	9	8	1.091
533	pene	2894	10.496	14	13	1.062
534	computo	842	3.054	5	5	1.043
535	recipio	7846	28.456	34	28	1.02
536	regnum	16889	61.254	69	39	0.945
537	defero	2734	9.916	13	10	0.877
538	ubicumque	895	3.246	5	5	0.816
539	incarnatio	2283	8.28	11	10	0.812
540	ceterum	1120	4.062	6	6	0.808
541	episcopalis	1126	4.084	6	5	0.788
542	propono	2062	7.479	10	7	0.771
543	uas2	2311	8.382	11	10	0.747
544	saltem	1600	5.803	8	8	0.746
545	monachus	5525	20.038	24	16	0.739
546	ingenium	1372	4.976	7	5	0.733
547	pronuntio	1150	4.171	6	6	0.708
548	cano	1386	5.027	7	7	0.692
549	ceterus	13284	48.179	54	40	0.68
550	reseruo	1179	4.276	6	6	0.619
551	aptus	1413	5.125	7	7	0.618
552	colloco	1182	4.287	6	4	0.611
553	uanitas	959	3.478	5	4	0.588
554	consolatio	1431	5.19	7	6	0.571
555	secularis1	2410	8.741	11	10	0.542
556	tot	1684	6.108	8	6	0.536
557	tabernaculum	2916	10.576	13	6	0.52
558	episcopatus	1692	6.137	8	7	0.518
559	tantum	9319	33.799	38	25	0.504
560	materia1	1460	5.295	7	5	0.5
561	paruulus2	990	3.591	5	5	0.494
562	fere	991	3.594	5	5	0.492
563	magnitudo	1705	6.184	8	7	0.49
564	exprimo	2201	7.983	10	8	0.473
565	haud	998	3.62	5	5	0.472
566	transfero	2451	8.889	11	10	0.467
567	expedio	1001	3.631	5	5	0.464
568	preter	2710	9.829	12	12	0.45
569	pulcher	1486	5.39	7	7	0.441
570	necnon	1487	5.393	7	7	0.439
571	queo	1026	3.721	5	4	0.398
572	accipio	20568	74.597	80	40	0.384
573	cur	3774	13.688	16	14	0.372
574	rite	1043	3.783	5	4	0.357
575	medicus2	1043	3.783	5	5	0.357
576	arbitrium	2270	8.233	10	9	0.356
577	postmodo	1777	6.445	8	7	0.35
578	dextera	3030	10.989	13	6	0.349
579	an	4310	15.632	18	12	0.343
580	quippe	7694	27.905	31	21	0.333
581	littera	7696	27.912	31	28	0.331
582	breuis1	1545	5.604	7	7	0.324
583	congruo	1071	3.884	5	5	0.295
584	certe	3334	12.092	14	12	0.288
585	lucus1	1321	4.791	6	4	0.283
586	sedeo	5409	19.618	22	15	0.279
587	congrego	3349	12.146	14	14	0.271
588	columna	1084	3.932	5	4	0.268
589	quodammodo	1085	3.935	5	4	0.266
590	hactenus	1334	4.838	6	6	0.26
591	conditor	1584	5.745	7	7	0.257
592	exhibeo	3621	13.133	15	11	0.255
593	exilium	1097	3.979	5	4	0.243
594	difficilis	1097	3.979	5	5	0.243
595	decurro	1098	3.982	5	5	0.241
596	augeo	1598	5.796	7	6	0.235
597	dico3	128642	466.566	477	142	0.234
598	uenerandus	1363	4.943	6	5	0.212
599	uarius1	2638	9.568	11	11	0.205
600	paradisus	1879	6.815	8	4	0.196
601	spiro	1127	4.088	5	5	0.191
602	utilis	1632	5.919	7	7	0.187
603	porro	2399	8.701	10	9	0.186
604	felix	2663	9.658	11	9	0.179
605	dogma	1640	5.948	7	6	0.177
606	etiam	39518	143.326	148	95	0.152
607	argumentum	1407	5.103	6	6	0.15
608	canonicus1	1154	4.185	5	4	0.15
609	proinde	1159	4.204	5	5	0.143
610	superius	3237	11.74	13	12	0.131
