No.	lemma	Total no. in this subcorpus	Expected collocate frequency	Observed collocate frequency	In no. of texts	Log Ratio value
317	translatio	840	3.047	7	6	1.207
318	15	1323	4.798	11	8	1.204
319	aduersus3	2204	7.994	18	4	1.178
320	ex	66613	241.596	544	184	1.178
321	unus	37779	137.019	308	74	1.175
322	documentum	740	2.684	6	6	1.167
323	comprobo	1126	4.084	9	9	1.146
324	12	2009	7.286	16	14	1.141
325	sacramentum	5790	21	46	31	1.138
326	octauum2	1007	3.652	8	8	1.137
327	inter	18369	66.622	145	70	1.128
328	frequenter	1528	5.542	12	11	1.121
329	impono	2579	9.354	20	10	1.102
330	tabula	1046	3.794	8	7	1.082
331	nempe	785	2.847	6	6	1.081
332	sermo	9216	33.425	70	41	1.072
333	satis	3302	11.976	25	19	1.068
334	origo	1323	4.798	10	10	1.065
335	plus2	927	3.362	7	7	1.064
336	tronus	1193	4.327	9	9	1.062
337	colligo2	3327	12.067	25	22	1.057
338	canon	4285	15.541	32	24	1.048
339	quoque	16521	59.919	122	70	1.031
340	concludo	1222	4.432	9	7	1.027
341	debitum	1358	4.925	10	6	1.027
342	perhibeo	1634	5.926	12	8	1.023
343	plaga1	1777	6.445	13	13	1.018
344	miracula	1918	6.956	14	9	1.014
345	multiplex	1235	4.479	9	9	1.012
346	prescientia	969	3.514	7	5	0.999
347	nepos	973	3.529	7	5	0.993
348	hinc	7125	25.841	51	29	0.986
349	integer	2659	9.644	19	17	0.983
350	perspicio	704	2.553	5	4	0.975
351	solidus2	706	2.561	5	5	0.97
352	aduocatus	710	2.575	5	3	0.962
353	recito	711	2.579	5	5	0.96
354	reuera	711	2.579	5	5	0.96
355	ornamentum	854	3.097	6	5	0.959
356	scriptura	9540	34.6	67	43	0.958
357	typus	863	3.13	6	6	0.944
358	argentum	1871	6.786	13	9	0.943
359	charta	720	2.611	5	4	0.942
360	uita	30381	110.187	210	131	0.935
361	mendacium	1737	6.3	12	10	0.934
362	sanctus1	70547	255.864	486	141	0.93
363	premitto	1752	6.354	12	12	0.922
364	marca2	1320	4.787	9	8	0.915
365	assero1	2209	8.012	15	15	0.909
366	pagina	1627	5.901	11	10	0.903
367	mortuus	6656	24.14	45	30	0.903
368	septuaginta	1934	7.014	13	8	0.895
369	sicut	41928	152.067	281	119	0.89
370	latus1	1346	4.882	9	9	0.887
371	inuenio	15419	55.922	103	76	0.886
372	claudo	1350	4.896	9	8	0.883
373	affero	2110	7.653	14	8	0.876
374	canticum	1965	7.127	13	10	0.872
375	condio	1216	4.41	8	8	0.863
376	orthodoxus	915	3.319	6	5	0.859
377	sacer	11163	40.487	73	56	0.855
378	paucus	3823	13.866	25	17	0.855
379	christianus1	5821	21.112	38	33	0.852
380	posterus	1849	6.706	12	9	0.844
381	manifestus	4330	15.704	28	23	0.838
382	quadraginta	1702	6.173	11	9	0.838
383	uocatio	938	3.402	6	3	0.823
384	dispositio	1251	4.537	8	4	0.822
385	iste2	20938	75.939	133	81	0.812
386	sacro	789	2.862	5	5	0.809
387	excedo	947	3.435	6	6	0.809
388	approbo	1107	4.015	7	7	0.806
389	intus1	1906	6.913	12	8	0.8
390	precipuus	2237	8.113	14	13	0.791
391	discutio	1125	4.08	7	6	0.782
392	diuersus	6111	22.164	38	33	0.782
393	conficio	1462	5.303	9	8	0.767
394	industria	821	2.978	5	5	0.751
395	pre1	2138	7.754	13	7	0.749
396	plurimus	4294	15.574	26	24	0.743
397	terminus	2478	8.987	15	11	0.743
398	:	232010	841.466	1404	243	0.742
399	transmitto	1001	3.631	6	6	0.728
400	censeo	1504	5.455	9	7	0.726
401	papa	6029	21.866	36	28	0.723
402	ita	28529	103.471	170	87	0.72
403	computo	842	3.054	5	5	0.715
404	mirabilis	1182	4.287	7	6	0.711
405	confessio	3889	14.105	23	15	0.709
406	ars	2369	8.592	14	13	0.708
407	floreo	1019	3.696	6	6	0.702
408	subsequor	1534	5.564	9	8	0.697
409	prout	1383	5.016	8	8	0.677
410	notitia	1560	5.658	9	8	0.673
411	comprehendo	2619	9.499	15	14	0.662
412	predictus	5771	20.931	33	26	0.66
413	profero	4745	17.209	27	23	0.653
414	denique	3179	11.53	18	17	0.646
415	thesaurus	1965	7.127	11	8	0.629
416	desum	2510	9.103	14	12	0.624
417	adiutorium	1440	5.223	8	7	0.618
418	(	30251	109.716	167	72	0.609
419	nouus	9489	34.415	52	38	0.598
420	unde	25621	92.924	139	69	0.584
421	maxime	3871	14.04	21	20	0.583
422	tracto	1848	6.702	10	6	0.58
423	custos	1686	6.115	9	3	0.56
424	decem	3204	11.62	17	17	0.551
425	uestimentum	2281	8.273	12	11	0.539
