No.	lemma	Total no. in this subcorpus	Expected collocate frequency	Observed collocate frequency	In no. of texts	Dice coefficient value
504	explano	412	1.494	11	9	0.002
505	templum	6987	25.341	16	9	0.002
506	uelut2	5228	18.961	15	13	0.002
507	partim	888	3.221	14	11	0.002
508	chronicus	141	0.511	10	8	0.002
509	missalis	62	0.225	10	8	0.002
510	falso2	68	0.247	10	4	0.002
511	hereticus2	3927	14.243	13	11	0.002
512	quadraginta	1702	6.173	11	9	0.002
513	nosco	9229	33.472	17	16	0.002
514	pagina	1627	5.901	11	10	0.002
515	quero	8096	29.363	16	13	0.002
516	inquio	15058	54.613	22	17	0.002
517	egregius	1265	4.588	11	11	0.002
518	adulterinus	119	0.432	10	5	0.002
519	preter	2710	9.829	12	12	0.002
520	consto	3616	13.115	13	13	0.002
521	catalogus	319	1.157	10	7	0.002
522	donum	4909	17.804	14	9	0.002
523	22	483	1.752	10	9	0.002
524	abbas	7157	25.957	16	14	0.002
525	dico1	14166	51.378	21	17	0.002
526	nouem	997	3.616	11	9	0.002
527	quot	1014	3.678	11	11	0.002
528	constitutio	1241	4.501	11	9	0.002
529	index	218	0.791	10	9	0.002
530	recedo	3535	12.821	13	12	0.002
531	computus	110	0.399	11	5	0.002
532	aliquot	502	1.821	10	8	0.002
533	interpretor	5357	19.429	14	12	0.002
534	dextera	3030	10.989	13	6	0.002
535	uestimentum	2281	8.273	12	11	0.002
536	quamuis	4631	16.796	14	11	0.002
537	ibi	10625	38.535	18	17	0.002
538	cognosco	10858	39.38	18	16	0.002
539	totidem	347	1.259	10	9	0.002
540	15	1323	4.798	11	8	0.002
541	exsisto	6201	22.49	15	13	0.002
542	arrianus	538	1.951	10	5	0.002
543	decerno	3657	13.263	12	9	0.002
544	desidero	3198	11.599	12	11	0.002
545	indico1	2105	7.635	11	11	0.002
546	relinquo	6672	24.198	14	14	0.002
547	transfero	2451	8.889	11	10	0.002
548	edo1	6571	23.832	14	12	0.002
549	licet	5198	18.852	13	13	0.002
550	uas2	2311	8.382	11	10	0.002
551	nisi	22453	81.434	26	24	0.002
552	origo	1323	4.798	10	10	0.002
553	auris	3705	13.438	12	12	0.002
554	secularis1	2410	8.741	11	10	0.002
555	spiritalis	7657	27.771	15	12	0.002
556	laqueus	1113	4.037	10	10	0.002
557	epigramma	42	0.152	9	3	0.002
558	uocatus	768	2.785	10	7	0.002
559	thesaurus	1965	7.127	11	8	0.002
560	acta2	37	0.134	9	3	0.002
561	scriptum	1427	5.176	10	10	0.002
562	eruditus1	644	2.336	10	9	0.002
563	plerique	748	2.713	10	9	0.002
564	gens	13090	47.476	19	12	0.002
565	diuinus2	40	0.145	9	8	0.002
566	uarius1	2638	9.568	11	11	0.002
567	scio	13520	49.035	20	19	0.002
568	felix	2663	9.658	11	9	0.002
569	clemens	1039	3.768	10	9	0.002
570	ecce	7576	27.477	15	12	0.002
571	incarnatio	2283	8.28	11	10	0.002
572	constituo	8682	31.488	16	15	0.002
573	quare	3911	14.185	12	10	0.002
574	debitum	1358	4.925	10	6	0.002
575	tracto	1848	6.702	10	6	0.001
576	pastor	3648	13.231	11	10	0.001
577	utor	3164	11.475	11	10	0.001
578	hymnus	1043	3.783	10	8	0.001
579	iudicium	15105	54.784	19	19	0.001
580	triginta	1575	5.712	10	10	0.001
581	exprimo	2201	7.983	10	8	0.001
582	retracto	304	1.103	9	6	0.001
583	omitto	893	3.239	9	8	0.001
584	paganus	1472	5.339	10	9	0.001
585	ualeo	9178	33.287	15	13	0.001
586	illuster	681	2.47	9	9	0.001
587	latinus	937	3.398	9	9	0.001
588	mendacium	1737	6.3	12	10	0.001
589	dum	18066	65.523	22	19	0.001
590	arbitrium	2270	8.233	10	9	0.001
591	propono	2062	7.479	10	7	0.001
592	uetustus	283	1.026	9	7	0.001
593	additio	100	0.363	9	4	0.001
594	quantus	4715	17.101	12	12	0.001
595	dissero2	448	1.625	9	7	0.001
596	usus	3832	13.898	11	10	0.001
597	prolixitas	192	0.696	9	5	0.001
598	peto	6871	24.92	13	12	0.001
599	quisquis1	7132	25.867	14	13	0.001
600	lingua	5301	19.226	12	12	0.001
601	cunctus	10019	36.337	16	13	0.001
602	disciplina	2928	10.619	11	10	0.001
603	folium	564	2.046	9	8	0.001
604	presbyter	8350	30.284	14	13	0.001
605	redeo	5029	18.239	12	11	0.001
606	conferuefacio	143	0.519	9	5	0.001
607	cura	4219	15.302	12	10	0.001
608	porro	2399	8.701	10	9	0.001
609	9	1756	6.369	10	10	0.001
610	numquam	4938	17.909	11	10	0.001
611	ignis	8316	30.161	13	13	0.001
612	mallus1	8278	30.023	13	10	0.001
613	25	423	1.534	8	4	0.001
614	prefixus	279	1.012	8	7	0.001
615	reparatio	214	0.776	8	2	0.001
616	latus1	1346	4.882	9	9	0.001
617	siquidem	3033	11	10	8	0.001
618	multiplex	1235	4.479	9	9	0.001
619	gista	152	0.551	8	3	0.001
620	commentum	201	0.729	8	5	0.001
621	confero	4308	15.625	11	10	0.001
622	manuscriptum	80	0.29	8	6	0.001
