No.	lemma	Total no. in this subcorpus	Expected collocate frequency	Observed collocate frequency	In no. of texts	Mutual information value
342	legalis	771	2.796	7	6	1.324
343	supradictus	1329	4.82	12	11	1.316
344	apertus	1441	5.226	13	11	1.315
345	laqueus	1113	4.037	10	10	1.309
346	iste1	2466	8.944	22	15	1.299
347	finio	2137	7.751	19	17	1.294
348	refero	6201	22.49	55	42	1.29
349	constitutio	1241	4.501	11	9	1.289
350	18	904	3.279	8	7	1.287
351	inchoo	1018	3.692	9	8	1.285
352	instrumentum	566	2.053	5	5	1.284
353	recondo	566	2.053	5	5	1.284
354	aduersus2	3751	13.604	33	25	1.278
355	testimonium	6030	21.87	53	38	1.277
356	obscurus	803	2.912	7	7	1.265
357	euangelicus	1607	5.828	14	12	1.264
358	duo	16653	60.398	145	78	1.263
359	edoceo	804	2.916	7	6	1.263
360	egregius	1265	4.588	11	11	1.262
361	sanctus2	10126	36.726	88	43	1.261
362	benedictus	2312	8.385	20	6	1.254
363	centum	1544	5.6	13	11	1.215
364	baptismum	3341	12.117	28	18	1.208
365	manifesto2	2626	9.524	22	10	1.208
366	insignis	836	3.032	7	6	1.207
367	nonnulli	2400	8.704	20	18	1.2
368	translatio	840	3.047	7	6	1.2
369	15	1323	4.798	11	8	1.197
370	diligenter	2553	9.259	21	19	1.181
371	aduersus3	2204	7.994	18	4	1.171
372	ex	66613	241.596	544	184	1.171
373	unus	37779	137.019	308	74	1.169
374	documentum	740	2.684	6	6	1.161
375	comprobo	1126	4.084	9	9	1.14
376	12	2009	7.286	16	14	1.135
377	sacramentum	5790	21	46	31	1.131
378	octauum2	1007	3.652	8	8	1.131
379	inter	18369	66.622	145	70	1.122
380	frequenter	1528	5.542	12	11	1.115
381	impono	2579	9.354	20	10	1.096
382	tabula	1046	3.794	8	7	1.076
383	nempe	785	2.847	6	6	1.075
384	sermo	9216	33.425	70	41	1.066
385	satis	3302	11.976	25	19	1.062
386	origo	1323	4.798	10	10	1.059
387	plus2	927	3.362	7	7	1.058
388	tronus	1193	4.327	9	9	1.057
389	colligo2	3327	12.067	25	22	1.051
390	canon	4285	15.541	32	24	1.042
391	quoque	16521	59.919	122	70	1.026
392	concludo	1222	4.432	9	7	1.022
393	debitum	1358	4.925	10	6	1.022
394	perhibeo	1634	5.926	12	8	1.018
395	preterea	1228	4.454	9	8	1.015
396	plaga1	1777	6.445	13	13	1.012
397	miracula	1918	6.956	14	9	1.009
398	multiplex	1235	4.479	9	9	1.007
399	prescientia	969	3.514	7	5	0.994
400	nepos	973	3.529	7	5	0.988
401	hinc	7125	25.841	51	29	0.981
402	integer	2659	9.644	19	17	0.978
403	perspicio	704	2.553	5	4	0.97
404	solidus2	706	2.561	5	5	0.965
405	aduocatus	710	2.575	5	3	0.957
406	reuera	711	2.579	5	5	0.955
407	recito	711	2.579	5	5	0.955
408	ornamentum	854	3.097	6	5	0.954
409	scriptura	9540	34.6	67	43	0.953
410	scriptum	1427	5.176	10	10	0.95
411	typus	863	3.13	6	6	0.939
412	argentum	1871	6.786	13	9	0.938
413	charta	720	2.611	5	4	0.937
414	uita	30381	110.187	210	131	0.93
415	mendacium	1737	6.3	12	10	0.93
416	sanctus1	70547	255.864	486	141	0.926
417	quinquaginta	873	3.166	6	6	0.922
418	premitto	1752	6.354	12	12	0.917
419	oraculum	731	2.651	5	5	0.915
420	marca2	1320	4.787	9	8	0.911
421	paganus	1472	5.339	10	9	0.905
422	assero1	2209	8.012	15	15	0.905
423	pagina	1627	5.901	11	10	0.898
424	mortuus	6656	24.14	45	30	0.898
425	septuaginta	1934	7.014	13	8	0.89
426	sicut	41928	152.067	281	119	0.886
427	latus1	1346	4.882	9	9	0.883
428	inuenio	15419	55.922	103	76	0.881
429	claudo	1350	4.896	9	8	0.878
430	primum	5850	21.217	39	30	0.878
431	denarius2	900	3.264	6	4	0.878
432	affero	2110	7.653	14	8	0.871
433	canticum	1965	7.127	13	10	0.867
434	condio	1216	4.41	8	8	0.859
435	orthodoxus	915	3.319	6	5	0.854
436	edificatio	764	2.771	5	1	0.852
437	sacer	11163	40.487	73	56	0.85
438	paucus	3823	13.866	25	17	0.85
439	christianus1	5821	21.112	38	33	0.848
440	studiosus1	922	3.344	6	6	0.843
441	posterus	1849	6.706	12	9	0.84
442	manifestus	4330	15.704	28	23	0.834
443	quadraginta	1702	6.173	11	9	0.833
444	porrigo1	778	2.822	5	5	0.825
445	uocatio	938	3.402	6	3	0.819
446	dispositio	1251	4.537	8	4	0.818
447	iste2	20938	75.939	133	81	0.809
448	triginta	1575	5.712	10	10	0.808
449	sacro	789	2.862	5	5	0.805
450	excedo	947	3.435	6	6	0.805
451	approbo	1107	4.015	7	7	0.802
452	intus1	1906	6.913	12	8	0.796
453	ianuarius	796	2.887	5	4	0.792
454	mysticus	2232	8.095	14	11	0.79
455	libellus	1438	5.215	9	9	0.787
456	precipuus	2237	8.113	14	13	0.787
457	discutio	1125	4.08	7	6	0.779
458	diuersus	6111	22.164	38	33	0.778
459	conficio	1462	5.303	9	8	0.763
460	industria	821	2.978	5	5	0.748
461	pre1	2138	7.754	13	7	0.745
462	plurimus	4294	15.574	26	24	0.739
463	terminus	2478	8.987	15	11	0.739
464	:	232010	841.466	1404	243	0.739
465	grece	1158	4.2	7	5	0.737
466	transmitto	1001	3.631	6	6	0.725
467	censeo	1504	5.455	9	7	0.722
468	testa	1003	3.638	6	5	0.722
469	deuoro	1004	3.641	6	5	0.72
470	papa	6029	21.866	36	28	0.719
471	differentia	1173	4.254	7	7	0.718
472	ita	28529	103.471	170	87	0.716
473	indicium	1176	4.265	7	7	0.715
474	computo	842	3.054	5	5	0.711
475	mirabilis	1182	4.287	7	6	0.707
476	confessio	3889	14.105	23	15	0.705
477	ars	2369	8.592	14	13	0.704
478	floreo	1019	3.696	6	6	0.699
479	subsequor	1534	5.564	9	8	0.694
480	prout	1383	5.016	8	8	0.673
481	adicio	1383	5.016	8	6	0.673
482	notitia	1560	5.658	9	8	0.67
483	sancta	2441	8.853	14	12	0.661
484	comprehendo	2619	9.499	15	14	0.659
485	predictus	5771	20.931	33	26	0.657
486	9	1756	6.369	10	10	0.651
487	profero	4745	17.209	27	23	0.65
488	denique	3179	11.53	18	17	0.643
489	thesaurus	1965	7.127	11	8	0.626
490	ubicumque	895	3.246	5	5	0.623
491	desum	2510	9.103	14	12	0.621
492	adiutorium	1440	5.223	8	7	0.615
493	(	30251	109.716	167	72	0.606
494	nouus	9489	34.415	52	38	0.595
495	ultimus	1647	5.973	9	6	0.591
496	unde	25621	92.924	139	69	0.581
497	maxime	3871	14.04	21	20	0.581
498	tracto	1848	6.702	10	6	0.577
499	ceterum	1120	4.062	6	6	0.563
500	custos	1686	6.115	9	3	0.558
501	bellum	3563	12.923	19	15	0.556
502	episcopalis	1126	4.084	6	5	0.555
503	decem	3204	11.62	17	17	0.549
504	uestimentum	2281	8.273	12	11	0.537
505	emendo	1716	6.224	9	8	0.532
506	indico1	2105	7.635	11	11	0.527
507	catholicus	5746	20.84	30	19	0.526
508	uis	7470	27.093	39	20	0.526
509	pronuntio	1150	4.171	6	6	0.525
510	uanitas	959	3.478	5	4	0.524
511	similiter	5771	20.931	30	25	0.519
512	nomino	3089	11.203	16	15	0.514
513	nomen	25313	91.807	131	87	0.513
514	sumo	4460	16.176	23	19	0.508
515	supra2	3902	14.152	20	14	0.499
516	ingenium	1372	4.976	7	5	0.492
517	reseruo	1179	4.276	6	6	0.489
518	colloco	1182	4.287	6	4	0.485
519	noto	2965	10.754	15	14	0.48
520	cano	1386	5.027	7	7	0.478
521	paruulus2	990	3.591	5	5	0.478
522	fere	991	3.594	5	5	0.476
523	amen	3393	12.306	17	17	0.466
524	haud	998	3.62	5	5	0.466
525	saltem	1600	5.803	8	8	0.463
526	expedio	1001	3.631	5	5	0.462
527	doctrina	7028	25.49	35	28	0.457
528	aptus	1413	5.125	7	7	0.45
529	consolatio	1431	5.19	7	6	0.432
530	queo	1026	3.721	5	4	0.426
531	propono	2062	7.479	10	7	0.419
