No.	Word	Total no. in this subcorpus	Expected collocate frequency	Observed collocate frequency	In no. of texts
946	fratribus	3064	11.113	8	8
947	Areopagita	46	0.167	8	2
948	Perfectione	385	1.396	8	6
949	Reparatione	69	0.25	8	2
950	sacris	2040	7.399	8	8
951	secunda	1939	7.033	8	8
952	semper	14445	52.39	8	8
953	signatus	107	0.388	8	8
954	terram	8011	29.055	8	7
955	Ceteri	1516	5.498	8	7
956	intelligi	3002	10.888	8	6
957	custos	569	2.064	8	2
958	laqueis	211	0.765	8	8
959	episcopum	3592	13.028	8	8
960	Amalarius	38	0.138	8	2
961	hereticorum	1271	4.61	8	6
962	Canonicis	448	1.625	8	6
963	testimoniis	524	1.901	8	8
964	uersus	1098	3.982	8	8
965	prout	1383	5.016	8	8
966	quecunque	1989	7.214	8	8
967	saltem	1600	5.803	8	8
968	Spiritum	6423	23.295	8	6
969	imponere	234	0.849	8	3
970	conscripserunt	44	0.16	8	3
971	ipsorum	1702	6.173	8	8
972	dicente	2087	7.569	8	8
973	accipere	2325	8.432	8	6
974	Ade	427	1.549	8	5
975	Excerpta	96	0.348	8	7
976	uos	17265	62.618	8	7
977	Xxix	329	1.193	8	7
978	reperiatur	104	0.377	8	8
979	sacros	486	1.763	8	7
980	Conciliorum	212	0.769	8	6
981	ipsis	4543	16.477	8	8
982	debito	334	1.211	8	5
983	Iudicium	5420	19.658	8	8
984	dicta	3129	11.348	8	8
985	legum	408	1.48	8	6
986	longe	3330	12.077	8	7
987	posuimus	244	0.885	7	4
988	uasa	1497	5.429	7	6
989	potuit	3329	12.074	7	7
990	Quinti	106	0.384	7	7
991	Romanorum	1369	4.965	7	6
992	sufficienter	336	1.219	7	7
993	Paradiso	750	2.72	7	3
994	terra	10001	36.272	7	5
995	clericorum	993	3.602	7	6
996	dicere	4835	17.536	7	5
997	pleniter	494	1.792	7	6
998	plurima	1018	3.692	7	7
999	Mattheus	746	2.706	7	6
1000	scribuntur	117	0.424	7	7
1001	Scriptor	216	0.783	7	7
1002	motus	1165	4.225	7	2
1003	Exstat	335	1.215	7	6
1004	Amos	271	0.983	7	5
1005	auctoritate	3997	14.497	7	7
1006	tua	9484	34.397	7	7
1007	profecto	2155	7.816	7	7
1008	utrumque	1761	6.387	7	6
1009	significant	943	3.42	7	7
1010	Ione	100	0.363	7	5
1011	debet	4982	18.069	7	6
1012	lasciuus	35	0.127	7	6
1013	diuisione	277	1.005	7	4
1014	locutus	2328	8.443	7	6
1015	Malachim	34	0.123	7	7
1016	Ecclesiasticum	370	1.342	7	7
1017	Ahie	10	0.036	7	5
1018	testimonio	876	3.177	7	7
1019	potui	438	1.589	7	7
1020	uix	1790	6.492	7	7
1021	Regem	4696	17.032	7	7
1022	necnon	1487	5.393	7	7
1023	nostra	9321	33.806	7	6
1024	signati	124	0.45	7	6
1025	notandum	1612	5.847	7	7
1026	supradicto	183	0.664	7	6
1027	Cesariensis	73	0.265	7	7
1028	christianorum	1047	3.797	7	6
1029	Iuda	1951	7.076	7	6
1030	Agnelli	109	0.395	7	2
1031	alibi	2804	10.17	7	7
1032	alter	2036	7.384	7	7
1033	faciunt	2717	9.854	7	7
1034	penitentialis	26	0.094	7	4
1035	thronum	373	1.353	7	7
1036	memorie	1308	4.744	7	7
1037	scriptis	875	3.174	7	7
1038	nominatur	663	2.405	7	6
1039	Silonitis	9	0.033	7	5
1040	tenet	1172	4.251	7	6
1041	igne	2063	7.482	7	7
1042	circa	3505	12.712	7	7
1043	isti	2860	10.373	7	6
1044	dicat	4292	15.566	7	7
1045	latius	383	1.389	7	7
1046	dicto	689	2.499	7	7
1047	litteras	1398	5.07	7	7
1048	epigrammatum	9	0.033	7	2
1049	Eusebius	189	0.686	7	6
1050	plura	1161	4.211	7	7
1051	predicti	801	2.905	7	7
1052	prefatus	640	2.321	7	6
1053	propterea	3112	11.287	7	7
1054	psalmus	1429	5.183	7	6
1055	utriusque	1273	4.617	7	7
1056	Xx	764	2.771	7	5
1057	numerum	1830	6.637	7	6
1058	olim	2184	7.921	7	7
1059	tandem	2476	8.98	7	5
1060	declarat	476	1.726	7	7
1061	lingua	2354	8.538	7	7
1062	abbatis	1136	4.12	7	5
1063	apertus	35	0.127	7	5
1064	uirginitate	159	0.577	7	5
1065	proprie	2375	8.614	7	7
1066	capitulum	564	2.046	7	6
1067	hominis	6445	23.375	7	7
1068	catholice	1669	6.053	7	4
1069	Ciuitatis	2491	9.035	7	5
1070	Conditor	473	1.716	7	7
1071	Decimi	116	0.421	7	3
1072	deest	478	1.734	7	7
1073	demonstratur	477	1.73	7	7
1074	magnam	1001	3.631	7	7
1075	gesta	1383	5.016	7	6
1076	Grece	1158	4.2	7	5
1077	c	3493	12.669	7	7
1078	Peri	12	0.044	7	4
1079	tue	5257	19.066	7	7
1080	Undecimus	55	0.2	7	7
1081	Quapropter	2248	8.153	7	6
1082	quondam	2078	7.537	7	7
1083	Rabani	79	0.287	7	5
1084	Redemptor	782	2.836	7	5
1085	Nature	3245	11.769	7	4
1086	ostendunt	479	1.737	7	7
1087	Cantica	241	0.874	7	6
1088	homilia	752	2.727	7	7
1089	imagines	964	3.496	7	3
1090	Marci	289	1.048	7	6
1091	Eusebii	189	0.686	7	5
1092	Fulgentii	42	0.152	7	6
1093	gratiam	6394	23.19	7	6
1094	Augustino	321	1.164	7	6
1095	toto	3112	11.287	6	6
1096	Pontificalis	130	0.472	6	2
1097	Uide	1279	4.639	6	5
1098	Maximinum	57	0.207	6	3
1099	sanctos	1819	6.597	6	6
1100	memorat	197	0.715	6	6
1101	ob	5009	18.167	6	6
1102	comprehendit	313	1.135	6	6
1103	inuenire	1087	3.942	6	4
1104	istos	520	1.886	6	4
1105	Iudaicus	221	0.802	6	5
1106	manus	5645	20.474	6	6
1107	exemplum	2462	8.929	6	4
1108	explanat	70	0.254	6	4
1109	auctorem	773	2.804	6	6
1110	tota	3787	13.735	6	6
1111	tuis	3526	12.788	6	6
1112	potestatem	3063	11.109	6	6
1113	uersibus	269	0.976	6	6
1114	usus	1736	6.296	6	6
1115	qualiter	3848	13.956	6	6
1116	Mendacio	365	1.324	6	6
1117	octoginta	352	1.277	6	6
1118	Origine	440	1.596	6	6
1119	tali	1845	6.692	6	6
1120	panes	825	2.992	6	6
1121	Canticum	726	2.633	6	5
1122	hominem	6415	23.266	6	6
1123	catalogo	168	0.609	6	4
1124	huiusmodi	3496	12.68	6	6
1125	creaturarum	268	0.972	6	5
1126	legantur	138	0.501	6	5
1127	litteris	2264	8.211	6	5
1128	Dominica	1279	4.639	6	3
1129	episcopali	416	1.509	6	5
1130	Esdra	59	0.214	6	2
1131	etenim	2603	9.441	6	6
1132	additiones	15	0.054	6	2
1133	Exodus	37	0.134	6	5
1134	annum	1701	6.169	6	6
1135	appellauit	381	1.382	6	6
