No.	lemma	Total no. in this subcorpus	Expected collocate frequency	Observed collocate frequency	In no. of texts	Z-score value
374	narratio	638	2.314	7	7	2.752
375	numero1	789	2.862	8	8	2.742
376	pluralis	369	1.338	5	4	2.733
377	laqueus	1113	4.037	10	10	2.719
378	uirginitas	798	2.894	8	5	2.707
379	decalogus	377	1.367	5	4	2.679
380	agon	514	1.864	6	5	2.663
381	partio1	380	1.378	5	5	2.659
382	26	385	1.396	5	4	2.627
383	15	1323	4.798	11	8	2.603
384	scruto	677	2.455	7	7	2.581
385	prudenter	530	1.922	6	5	2.581
386	frequenter	1528	5.542	12	11	2.531
387	predictus	5771	20.931	33	26	2.529
388	plurimus	4294	15.574	26	24	2.515
389	copiosus	696	2.524	7	5	2.502
390	inchoo	1018	3.692	9	8	2.502
391	subdiaconus	405	1.469	5	3	2.501
392	miracula	1918	6.956	14	9	2.481
393	collectio	423	1.534	5	5	2.394
394	plaga1	1777	6.445	13	13	2.385
395	reuoluo	427	1.549	5	5	2.372
396	relego2	428	1.552	5	5	2.366
397	18	904	3.279	8	7	2.331
398	assero1	2209	8.012	15	15	2.292
399	perhibeo	1634	5.926	12	8	2.29
400	stilus	593	2.151	6	6	2.284
401	ethereus	449	1.629	5	1	2.25
402	20	764	2.771	7	5	2.24
403	profero	4745	17.209	27	23	2.24
404	confessio	3889	14.105	23	15	2.235
405	legalis	771	2.796	7	6	2.215
406	argentum	1871	6.786	13	9	2.194
407	synodalis1	460	1.668	5	3	2.192
408	uis	7470	27.093	39	20	2.192
409	comprobo	1126	4.084	9	9	2.185
410	creber	619	2.245	6	5	2.172
411	origo	1323	4.798	10	10	2.146
412	ostendo	14357	52.071	68	39	2.138
413	hic1	15083	54.704	71	48	2.136
414	affero	2110	7.653	14	8	2.114
415	obscurus	803	2.912	7	7	2.102
416	edoceo	804	2.916	7	6	2.099
417	mendacium	1737	6.3	12	10	2.072
418	septuaginta	1934	7.014	13	8	2.071
419	debitum	1358	4.925	10	6	2.061
420	premitto	1752	6.354	12	12	2.041
421	octauum2	1007	3.652	8	8	2.013
422	canticum	1965	7.127	13	10	2.013
423	tronus	1193	4.327	9	9	2.006
424	sequor	15585	56.525	72	48	1.992
425	insignis	836	3.032	7	6	1.992
426	translatio	840	3.047	7	6	1.979
427	concludo	1222	4.432	9	7	1.932
428	preterea	1228	4.454	9	8	1.917
429	tabula	1046	3.794	8	7	1.903
430	scriptum	1427	5.176	10	10	1.901
431	multiplex	1235	4.479	9	9	1.9
432	mysticus	2232	8.095	14	11	1.9
433	catholicus	5746	20.84	30	19	1.897
434	pagina	1627	5.901	11	10	1.893
435	precipuus	2237	8.113	14	13	1.891
436	persus	526	1.908	5	5	1.877
437	similiter	5771	20.931	30	25	1.873
438	uerbum	27300	99.013	118	71	1.858
